Date,Price,Open,High,Low,Vol.,Change %
"Jul 19, 2020",9704.1,9170.1,9729.3,9106.4,2.56M,5.82%
"Jul 12, 2020",9170.2,9234.2,9337.8,9052,2.76M,-0.68%
"Jul 05, 2020",9233.3,9134.3,9458.3,8932.1,3.03M,1.08%
"Jun 28, 2020",9134.4,9008.4,9289,8950.2,2.61M,1.40%
"Jun 21, 2020",9008.3,9358.8,9751.9,8865.3,3.24M,-3.74%
"Jun 14, 2020",9358.8,9470.7,9577.1,8925.6,3.38M,-1.19%
"Jun 07, 2020",9471.3,9669.6,9970.9,9139.1,3.94M,-2.05%
"May 31, 2020",9669.6,9692.9,10301.8,9347.3,4.72M,-0.24%
"May 24, 2020",9692.5,9177.9,9729.9,8666.1,6.17M,5.62%
"May 17, 2020",9177,9376.6,9930.2,8833.6,7.89M,-2.16%
"May 10, 2020",9379.5,9553.9,9887.5,8235.6,12.52M,-1.83%
"May 03, 2020",9554.6,8966.2,10033,8553.2,9.63M,6.56%
"Apr 26, 2020",8966.3,7540.4,9437.5,7520.5,8.77M,18.91%
"Apr 19, 2020",7540.4,7230.9,7684.6,6771.2,12.22M,4.28%
"Apr 12, 2020",7230.8,6867.9,7259.4,6520.5,7.48M,5.29%
"Apr 05, 2020",6867.8,6857.5,7440.3,6686,8.36M,0.15%
"Mar 29, 2020",6857.4,6233.2,7182.7,5872.5,9.18M,10.01%
"Mar 22, 2020",6233.7,6186.9,6930.2,5710.8,10.15M,0.77%
"Mar 15, 2020",6186.2,5182.9,6858.1,4477.7,14.45M,19.36%
"Mar 08, 2020",5182.7,8887.8,8888,3869.5,16.09M,-41.69%
"Mar 01, 2020",8887.8,8543.8,9180.8,8437.2,6.44M,4.03%
"Feb 23, 2020",8543.7,9655.6,9981,8451.9,7.28M,-11.52%
"Feb 16, 2020",9655.7,9907.4,10230.9,9424.3,5.93M,-2.54%
"Feb 09, 2020",9907.7,9895.4,10482.6,9725.1,5.39M,0.12%
"Feb 02, 2020",9895.5,9381.5,9931.2,9381.5,4.78M,5.48%
"Jan 26, 2020",9381.6,8341.6,9569,8304.9,4.89M,12.47%
"Jan 19, 2020",8341.6,8916.3,9183.7,8242.6,4.60M,-6.45%
"Jan 12, 2020",8916.3,8023.3,9005.1,7973.1,6.33M,11.12%
"Jan 05, 2020",8024.1,7376.8,8436.4,7345.6,6.53M,8.78%
"Dec 29, 2019",7376.8,7321.6,7518.9,6884.1,4.70M,0.75%
"Dec 22, 2019",7321.5,7156.3,7684,7128.5,5.29M,2.31%
"Dec 15, 2019",7156.2,7080.8,7387.7,6462.2,5.22M,1.07%
"Dec 08, 2019",7080.8,7510.8,7626,7043.3,3.88M,-5.73%
"Dec 01, 2019",7510.9,7546.5,7702.2,7113.6,5.17M,-0.47%
"Nov 24, 2019",7546.6,7325,7825.3,6534.8,6.29M,3.04%
"Nov 17, 2019",7324.1,8497.4,8631.7,6818.5,6.19M,-13.81%
"Nov 10, 2019",8497.3,8804.7,9092.9,8437.1,4.02M,-3.49%
"Nov 03, 2019",8804.5,9300.5,9500.4,8722.4,4.63M,-5.33%
"Oct 27, 2019",9300.6,9230.6,9866.9,8959.6,6.08M,0.76%
"Oct 20, 2019",9230.6,7957.4,10540,7329.2,4.23M,16.00%
"Oct 13, 2019",7957.3,8304.3,8450.2,7842,3.38M,-4.18%
"Oct 06, 2019",8304.4,8127.3,8751.1,7797,4.00M,2.18%
"Sep 29, 2019",8127.3,8208,8486.2,7749,3.23M,-0.99%
"Sep 22, 2019",8208.5,9993,10075,7773.6,4.23M,-17.86%
"Sep 15, 2019",9993,10337.3,10360.5,9707.6,2.51M,-3.33%
"Sep 08, 2019",10337.3,10461.6,10578,9908.9,2.74M,-1.18%
"Sep 01, 2019",10461.1,9594.7,10896.2,9533.6,3.62M,9.03%
"Aug 25, 2019",9594.4,10132.1,10568.2,9343,3.29M,-5.30%
"Aug 18, 2019",10131,10219.3,10941.6,9777,3.57M,-0.85%
"Aug 11, 2019",10218.1,11314.6,11728.4,9580.1,4.62M,-9.69%
"Aug 04, 2019",11314.5,10816.1,12291.9,10568.8,4.55M,4.61%
"Jul 28, 2019",10815.7,9491.1,10893.6,9401.1,3.89M,13.94%
"Jul 21, 2019",9492.1,10827,10883.8,9389.1,4.02M,-12.33%
"Jul 14, 2019",10826.7,11364.3,11448.7,9082.6,6.29M,-4.74%
"Jul 07, 2019",11364.9,11267.9,13134.4,10839.4,5.64M,0.86%
"Jun 30, 2019",11268,11906,12179.3,9728.5,6.41M,-5.36%
"Jun 23, 2019",11906.5,10721.5,13929.8,10493.5,7.21M,11.05%
"Jun 16, 2019",10721.7,8812.2,11160.5,8771.1,5.15M,21.66%
"Jun 09, 2019",8812.5,7901.6,8856.7,7516.9,4.24M,11.53%
"Jun 02, 2019",7901.4,8545.8,8807.7,7480.4,4.88M,-7.54%
"May 26, 2019",8545.7,8029.6,9045.9,7866.5,20.69M,6.46%
"May 19, 2019",8027.4,7261.9,8253.4,7252.3,6.20M,10.53%
"May 12, 2019",7262.6,7190,8323.9,6802.6,9.03M,1.01%
"May 05, 2019",7190.3,5830.8,7373.8,5630.5,5.78M,23.31%
"Apr 28, 2019",5830.9,5265.7,5899.2,5188.9,5.56M,10.73%
"Apr 21, 2019",5265.9,5290.2,5594.4,5137.4,6.56M,-0.46%
"Apr 14, 2019",5290.2,5052,5327,4964.2,4.90M,4.72%
"Apr 07, 2019",5051.8,5046.1,5404.1,4889.2,5.83M,0.11%
"Mar 31, 2019",5046.2,4111.8,5278.4,4076.8,36.99M,22.73%
"Mar 24, 2019",4111.8,4002.6,4138.1,3897.9,19.14M,2.73%
"Mar 17, 2019",4002.5,4006.4,4064,3923.8,20.06M,-0.10%
"Mar 10, 2019",4006.4,3944.4,4050.6,3817.1,19.44M,1.57%
